sample_accession,isolate
SAMEA2205499,11658_3#74
SAMEA2205500,11657_5#81
SAMEA2205514,11657_6#78
SAMEA2205526,11679_4#77
SAMEA2205529,11679_5#74
SAMEA2205531,11658_3#75
SAMEA2205545,11679_6#77
SAMEA2205539,11679_6#76
SAMEA2205540,11679_8#77
SAMEA2205555,11658_3#79
SAMEA2205567,11679_4#80
SAMEA2205571,11658_7#86
SAMEA2205568,11791_7#68
SAMEA2205579,11658_4#90
SAMEA2205580,11679_7#78
SAMEA2205582,11679_6#79
SAMEA2205575,11679_8#79
SAMEA2205591,11658_3#84
SAMEA2205590,11658_4#91
SAMEA2205588,11679_6#80
SAMEA2205602,11658_7#92
SAMEA2205606,11658_7#94
SAMEA2205616,11658_4#93
SAMEA2205627,11791_3#69
SAMEA2205636,11658_3#87
SAMEA2205637,11791_3#74
SAMEA2205652,11679_4#87
SAMEA2205656,11657_6#91
SAMEA2205659,11679_6#87
SAMEA2205675,11791_3#85
SAMEA2205678,11791_3#86
SAMEA2205687,11679_5#86
SAMEA2205696,11657_6#92
SAMEA2205710,11658_4#96
SAMEA2205727,11791_3#93
SAMEA2205720,11679_8#90
SAMEA2205722,11679_8#91
SAMEA2205725,11679_4#94
SAMEA2205737,11679_5#95
SAMEA2205735,11679_7#93
SAMEA2205742,11657_6#96
SAMEA2205745,11679_8#95
SAMEA2205739,11657_7#92
SAMEA2205740,11679_7#94
SAMEA2205746,11679_6#95
SAMEA2205754,11679_7#96
SAMEA2205751,11657_7#93
SAMEA2205755,11657_7#94
SAMEA2205756,11658_3#96
SAMEA2271749,12045_3#57
SAMEA3531626,18090_6#82
SAMEA3531633,18090_6#88
SAMEA3531630,18090_6#85
SAMEA3531640,18090_7#60
SAMEA3531643,18090_7#62
SAMEA3531646,18090_6#34
SAMEA3531645,18090_7#63
SAMEA3531647,18090_7#64
SAMEA3531651,18090_7#66
SAMEA3531661,18090_6#36
SAMEA3531689,18090_7#85
SAMEA3531690,18090_7#16
SAMEA3531698,18090_7#89
SAMEA3531713,18090_6#43
SAMEA3531714,18090_8#3
SAMEA3531712,18090_8#2
SAMEA3531725,18090_7#30
SAMEA3531731,18090_7#33
SAMEA3531735,18090_7#35
SAMEA3531737,18090_7#36
SAMEA3531752,18090_7#47
SAMEA3531758,18090_7#50
SAMEA3531776,18090_8#17
SAMEA3531853,18090_8#29
SAMEA2204238,11657_5#2
SAMEA2204240,11658_6#3
SAMEA2204242,11791_7#1
SAMEA2204243,11791_7#2
SAMEA2204239,11658_6#2
SAMEA2204241,11658_5#5
SAMEA2204245,11658_6#4
SAMEA2204253,11658_5#8
SAMEA2204254,11658_4#4
SAMEA2204256,11791_7#4
SAMEA2204258,11658_5#9
SAMEA2204259,11791_7#6
SAMEA2204260,11657_5#4
SAMEA2204263,11658_7#2
SAMEA2204267,11658_8#25
SAMEA2204269,11658_7#5
SAMEA2204272,11658_5#12
SAMEA2204270,11658_6#7
SAMEA2204277,11657_5#5
SAMEA2204276,11658_5#14
SAMEA2204279,11791_7#7
SAMEA2204280,11658_6#10
SAMEA2204282,11679_4#1
SAMEA2204285,11791_6#2
SAMEA2204290,11658_5#15
SAMEA2204289,11658_7#7
SAMEA2204306,11791_7#13
SAMEA2204300,11658_7#8
SAMEA2204314,11658_6#18
SAMEA2204323,11658_7#13
SAMEA2204326,11679_5#1
SAMEA2204319,11658_6#20
SAMEA2204328,11658_5#21
SAMEA2204334,11657_6#4
SAMEA2204339,11658_5#26
SAMEA2204337,11658_6#21
SAMEA2204338,11658_7#14
SAMEA2204344,11658_5#28
SAMEA2204352,11658_4#14
SAMEA2204351,11658_6#23
SAMEA2204360,11657_6#5
SAMEA2204361,11658_4#15
SAMEA2204365,11658_6#24
SAMEA2204368,11657_5#7
SAMEA2204370,11791_6#6
SAMEA2204372,11658_8#36
SAMEA2204380,11658_6#28
SAMEA2204379,11658_8#37
