sample_accession,isolate
SAMEA2204651,11657_7#26
SAMEA2204650,11657_7#25
SAMEA2204653,11679_7#14
SAMEA2204657,11679_8#12
SAMEA2204663,11679_8#14
SAMEA2204666,11657_6#29
SAMEA2204681,11658_3#23
SAMEA2204682,11679_4#21
SAMEA2204685,11679_7#19
SAMEA2204686,11679_5#15
SAMEA2204690,11657_7#30
SAMEA2204688,11657_7#29
SAMEA2204695,11658_6#57
SAMEA2204706,11658_5#59
SAMEA2204710,11657_5#29
SAMEA2204711,11657_5#30
SAMEA2204732,11658_7#47
SAMEA2204734,11658_6#62
SAMEA2204740,11658_8#59
SAMEA2204749,11658_4#37
SAMEA2204754,11658_5#64
SAMEA2204761,11791_6#15
SAMEA2204771,11658_5#65
SAMEA2204779,11658_6#63
SAMEA2204780,11658_7#51
SAMEA2204809,11791_3#15
SAMEA2204814,11791_3#17
SAMEA2204817,11679_7#23
SAMEA2204830,11791_3#20
SAMEA2204831,11679_4#26
SAMEA2204832,11679_6#28
SAMEA2204844,11657_7#36
SAMEA2204847,11679_6#30
SAMEA2204855,11679_6#32
SAMEA2204878,11657_7#38
SAMEA2204871,11679_6#35
SAMEA2204873,11657_7#37
SAMEA2204882,11679_8#36
SAMEA2204881,11679_4#28
SAMEA2204903,11658_7#54
SAMEA2204898,11658_7#53
SAMEA2204906,11791_7#48
SAMEA2204905,11657_6#41
SAMEA2204914,11657_7#39
SAMEA2204918,11791_7#49
SAMEA2204923,11679_6#37
SAMEA2204928,11658_5#71
SAMEA2204926,11658_5#70
SAMEA2204941,11658_5#73
SAMEA2204952,11791_6#20
SAMEA2204967,11657_7#41
SAMEA2204977,11658_5#80
SAMEA2204990,11658_4#47
SAMEA2204983,11658_5#82
SAMEA2204982,11658_8#73
SAMEA2204996,11658_6#77
SAMEA2204995,11679_4#30
SAMEA2205007,11658_4#49
SAMEA2205016,11658_5#83
SAMEA2205039,11657_5#47
SAMEA2205045,11658_6#85
SAMEA2205047,11658_4#53
SAMEA2205051,11658_8#91
SAMEA2205048,11658_4#54
SAMEA2205056,11658_5#88
SAMEA2205059,11658_6#89
SAMEA2205063,11679_6#39
SAMEA2205062,11657_7#45
SAMEA2205074,11791_3#40
SAMEA2205075,11679_8#47
SAMEA2205079,11679_8#48
SAMEA2205084,11679_4#34
SAMEA2205088,11679_5#33
SAMEA2205094,11679_5#34
SAMEA2205097,11679_6#43
SAMEA2205099,11679_4#36
SAMEA2205103,11791_3#43
SAMEA2205106,11679_7#34
SAMEA2205111,11893_8#71
SAMEA2205109,11791_3#44
SAMEA2205116,11657_5#52
SAMEA2205115,11679_6#45
SAMEA2205121,11657_7#48
SAMEA2205123,11658_4#59
SAMEA2205117,11679_6#46
SAMEA2205122,11657_7#49
SAMEA2205128,11679_8#52
SAMEA2205132,11679_6#48
SAMEA2205131,11657_5#53
SAMEA2205134,11791_3#47
SAMEA2205133,11791_3#46
SAMEA2205137,11679_4#40
SAMEA2205136,11658_4#61
SAMEA2205138,11679_4#41
SAMEA2205139,11679_4#42
SAMEA2205143,11791_3#48
SAMEA2205146,11679_4#43
SAMEA2205144,11658_7#66
SAMEA2205149,11657_5#54
SAMEA2205152,11679_8#54
SAMEA2205151,11658_7#67
SAMEA2205154,11657_6#49
SAMEA2205157,11679_7#37
SAMEA2205160,11679_8#55
SAMEA2205161,11679_5#37
SAMEA2205159,11679_6#49
SAMEA2205162,11679_8#56
SAMEA2205163,11657_6#50
SAMEA2205165,11679_4#45
SAMEA2205170,11657_5#56
SAMEA2205171,11679_8#58
SAMEA2205183,11679_5#39
SAMEA2205181,11658_7#70
SAMEA2205179,11679_4#48
SAMEA2205185,11679_7#38
SAMEA2205193,11791_3#52
SAMEA2205191,11657_7#53
SAMEA2205199,11679_8#59
SAMEA2205200,11791_3#53
SAMEA2205214,11657_5#59
SAMEA2205208,11658_3#43
SAMEA2205218,11791_3#56
SAMEA2205231,11657_7#58
SAMEA2205239,11679_8#65
SAMEA2205245,11679_4#54
SAMEA2205249,11679_5#46
SAMEA2205264,11657_5#64
SAMEA2205265,11679_6#57
SAMEA2205271,11679_6#58
SAMEA2205290,11791_6#24
SAMEA2205295,11679_7#49
SAMEA2205305,11679_5#51
SAMEA2205318,11658_3#54
SAMEA2205324,11679_4#59
SAMEA2205332,11679_7#53
SAMEA2205331,11679_6#62
SAMEA2205335,11657_7#67
SAMEA2205337,11657_5#71
SAMEA2205336,11679_8#69
SAMEA2205354,11679_6#66
SAMEA2205365,11679_5#59
SAMEA2205366,11657_7#70
SAMEA2205368,11657_7#71
SAMEA2205364,11679_4#64
SAMEA2205374,11657_7#72
SAMEA2205380,11679_7#59
SAMEA2205385,11658_5#92
SAMEA2205388,11658_3#65
SAMEA2205384,11679_5#60
SAMEA2205395,11679_7#60
SAMEA2205406,11657_7#78
SAMEA2205415,11658_8#94
SAMEA2205414,11657_7#79
SAMEA2205418,11657_6#70
SAMEA2205428,11658_4#77
SAMEA2205444,11658_4#79
SAMEA2205437,11658_3#67
SAMEA2205446,11791_6#30
SAMEA2205451,11658_3#69
SAMEA2205457,11658_4#81
SAMEA2205455,11679_5#66
SAMEA2205468,11791_6#32
SAMEA2205484,11658_4#86
SAMEA2205490,11679_7#71
SAMEA2205498,11657_7#85
SAMEA2205493,11658_7#80
SAMEA2205505,11658_4#87
SAMEA2205512,11679_4#75
SAMEA2205510,11658_8#96
SAMEA2205515,11657_6#79
SAMEA2205528,11657_6#80
SAMEA2205523,11658_6#94
SAMEA2205536,11679_5#75
SAMEA2205542,11679_7#73
SAMEA2205548,11679_6#78
SAMEA2205551,11679_7#76
SAMEA2205594,11791_7#69
SAMEA2205597,11658_7#91
SAMEA2205598,11657_6#86
SAMEA2205612,11657_6#87
SAMEA2205614,11679_5#79
SAMEA2205618,11658_6#96
SAMEA2205619,11679_6#82
SAMEA2205620,11658_4#94
SAMEA2205634,11679_6#83
SAMEA2205631,11657_6#89
SAMEA2205635,11791_3#73
SAMEA2205640,11791_3#75
SAMEA2205641,11679_6#84
SAMEA2205661,11657_5#95
SAMEA2205660,11658_3#88
SAMEA2205669,11679_6#88
SAMEA2205668,11791_6#38
SAMEA2205676,11791_6#39
SAMEA2205681,11679_5#84
SAMEA2205692,11679_5#87
SAMEA2205688,11679_4#90
SAMEA2205695,11679_4#92
SAMEA2205703,11791_3#87
SAMEA2205707,11791_3#90
SAMEA2205709,11657_6#94
SAMEA2205714,11679_7#90
SAMEA2205712,11791_7#70
SAMEA2205718,11791_3#92
SAMEA2205721,11679_5#91
SAMEA2205728,11679_5#93
SAMEA2205730,11679_5#94
SAMEA2205729,11679_6#94
SAMEA2205736,11679_8#92
SAMEA2205744,11658_3#94
SAMEA2205750,11679_4#96
SAMEA2205758,11657_7#95
SAMEA2205760,11679_8#96
SAMEA2205759,11657_7#96
SAMEA2271752,12045_3#60
SAMEA2271756,12045_3#64
SAMEA2271753,12045_3#61
SAMEA2271757,12045_3#65
SAMEA2271758,12045_3#66
SAMEA2271759,12045_3#67
SAMEA3531637,18090_6#92
SAMEA3531650,18090_7#3
SAMEA3531652,18090_7#4
SAMEA3531664,18090_7#73
SAMEA3531669,18090_7#8
SAMEA3531682,18090_7#14
SAMEA3531684,18090_6#40
SAMEA3531719,18090_7#27
SAMEA3531718,18090_8#5
SAMEA3531720,18090_8#6
SAMEA3531723,18090_7#29
SAMEA3531727,18090_7#31
SAMEA3531748,18090_7#45
SAMEA3531746,18090_7#43
SAMEA3531766,18090_7#56
SAMEA3531773,18090_6#55
SAMEA3531771,18090_8#15
SAMEA3531799,18090_6#57
SAMEA3531849,18090_8#27
SAMEA3531625,18090_6#81
SAMEA3531624,18090_6#80
SAMEA3531627,18090_6#83
SAMEA3531631,18090_6#86
SAMEA3531629,18090_6#33
SAMEA3531634,18090_6#89
SAMEA3531636,18090_6#91
SAMEA3531639,18090_6#94
SAMEA3531638,18090_6#93
SAMEA3531658,18090_7#70
SAMEA3531659,18090_7#6
SAMEA3531665,18090_7#7
SAMEA3531667,18090_6#38
SAMEA3531668,18090_7#75
SAMEA3531670,18090_6#39
SAMEA3531679,18090_7#80
SAMEA3531676,18090_7#11
SAMEA3531675,18090_7#78
SAMEA3531674,18090_7#10
SAMEA3531678,18090_7#12
SAMEA3531683,18090_7#82
SAMEA3531693,18090_7#18
SAMEA3531688,18090_6#41
SAMEA3531691,18090_7#86
SAMEA3531694,18090_7#87
SAMEA3531700,18090_7#90
SAMEA3531702,18090_6#53
SAMEA3531705,18090_7#92
SAMEA3531706,18090_7#23
SAMEA3531708,18090_7#94
SAMEA3531704,18090_7#22
SAMEA3531715,18090_7#26
SAMEA3531722,18090_8#7
SAMEA3531721,18090_7#28
SAMEA3531724,18090_8#8
SAMEA3531734,18090_8#13
SAMEA3531732,18090_8#12
SAMEA3531741,18090_7#39
SAMEA3531743,18090_7#40
SAMEA3531744,18090_7#41
SAMEA3531749,18090_7#46
SAMEA3531757,18090_6#50
SAMEA3531764,18090_7#54
SAMEA3531763,18090_7#53
SAMEA3531762,18090_6#52
SAMEA3531768,18090_7#58
SAMEA3531769,18090_7#59
SAMEA3531783,18090_6#56
SAMEA3531805,18090_8#21
SAMEA3531821,18090_8#22
SAMEA3531830,18090_6#59
SAMEA3531833,18090_8#24
SAMEA3531835,18090_8#25
SAMEA3531843,18090_8#26
SAMEA3531856,18090_8#30
SAMEA3531855,18090_6#61
SAMEA3531851,18090_8#28
SAMEA3531869,18090_6#63
SAMEA3531871,18090_8#33
SAMEA2204229,11658_4#1
SAMEA2204235,11658_5#3
SAMEA2204248,11658_7#1
SAMEA2204249,11658_8#24
SAMEA2204250,11791_7#3
SAMEA2204255,11658_4#5
SAMEA2204262,11658_5#10
SAMEA2204266,11658_7#4
SAMEA2204265,11658_7#3
SAMEA2204273,11658_6#8
SAMEA2204292,11791_7#12
SAMEA2204315,11658_4#7
SAMEA2204313,11658_7#11
SAMEA2204321,11658_4#8
SAMEA2204320,11658_5#19
SAMEA2204324,11658_4#9
SAMEA2204332,11658_8#33
SAMEA2204333,11658_8#34
SAMEA2204343,11791_6#5
SAMEA2204340,11658_5#27
SAMEA2204342,11658_7#15
SAMEA2204353,11658_5#30
SAMEA2204350,11658_4#13
SAMEA2204346,11658_6#22
SAMEA2204358,11658_7#17
SAMEA2204355,11658_8#35
SAMEA2204363,11657_6#6
SAMEA2204371,11791_7#19
SAMEA2204375,11658_6#25
SAMEA2204400,11658_7#23
SAMEA2204402,11658_8#40
SAMEA2204459,11657_7#11
SAMEA2204532,11658_5#46
SAMEA2204533,11658_5#47
SAMEA2204559,11658_8#52
SAMEA2204591,11658_6#54
SAMEA2204599,11658_7#36
SAMEA2204604,11679_7#10
SAMEA2204605,11679_5#8
SAMEA2204615,11657_7#21
SAMEA2204610,11679_4#15
SAMEA2204619,11658_3#14
SAMEA2204626,11679_8#10
SAMEA2204655,11658_3#20
SAMEA2204658,11657_6#27
SAMEA2204709,11658_5#60
SAMEA2204730,11658_7#46
SAMEA2204733,11657_5#31
SAMEA2204737,11679_8#16
SAMEA2204738,11658_4#35
SAMEA2204739,11657_5#33
SAMEA2204747,11657_5#35
SAMEA2204751,11791_6#14
SAMEA2204753,11679_8#17
SAMEA2204767,11679_6#22
SAMEA2204766,11657_5#37
SAMEA2204770,11791_3#11
SAMEA2204786,11679_5#18
SAMEA2204784,11657_6#33
SAMEA2204789,11679_8#21
SAMEA2204785,11679_8#20
SAMEA2204793,11658_3#25
SAMEA2204794,11679_7#21
SAMEA2204799,11679_5#19
SAMEA2204810,11791_3#16
SAMEA2204805,11679_5#21
SAMEA2204816,11679_8#25
SAMEA2204821,11679_8#26
SAMEA2204825,11791_3#18
SAMEA2204826,11679_8#28
SAMEA2204837,11679_6#29
SAMEA2204854,11658_3#31
SAMEA2204853,11791_3#28
SAMEA2204860,11679_5#26
SAMEA2204859,11657_6#38
SAMEA2204861,11791_3#30
SAMEA2204868,11679_8#33
SAMEA2204862,11679_5#27
SAMEA2204863,11679_6#34
SAMEA2204870,11657_5#41
SAMEA2204875,11791_3#32
SAMEA2204877,11679_8#34
SAMEA2204880,11679_8#35
SAMEA2204886,11658_4#42
SAMEA2204884,11679_8#37
SAMEA2204892,11658_5#67
SAMEA2204896,11658_4#43
SAMEA2204911,11658_4#45
SAMEA2204956,11658_8#67
SAMEA2204957,11658_8#68
SAMEA2204961,11658_5#76
SAMEA2204968,11658_6#72
SAMEA2204962,11658_6#71
SAMEA2204976,11658_8#70
SAMEA2205017,11658_8#84
SAMEA2205010,11658_3#32
SAMEA2205011,11658_3#33
SAMEA2205021,11658_8#86
SAMEA2205019,11658_8#85
SAMEA2205025,11658_8#87
SAMEA2205032,11658_5#85
SAMEA2205044,11679_4#31
SAMEA2205043,11791_7#61
SAMEA2205055,11658_5#87
SAMEA2205053,11791_7#62
SAMEA2205054,11658_3#34
SAMEA2205049,11658_6#86
SAMEA2205057,11657_5#48
SAMEA2205058,11658_6#88
SAMEA2205064,11658_4#57
SAMEA2205087,11657_7#46
SAMEA2205090,11679_4#35
SAMEA2205091,11679_7#30
SAMEA2205093,11679_7#32
SAMEA2205105,11658_3#37
SAMEA2205102,11679_5#35
SAMEA2205113,11657_5#51
SAMEA2205125,11658_3#39
SAMEA2205129,11657_7#50
SAMEA2205126,11679_7#35
SAMEA2205145,11657_7#51
SAMEA2205147,11679_5#36
SAMEA2205148,11679_8#53
SAMEA2205153,11658_7#68
SAMEA2205158,11679_4#44
SAMEA2205166,11679_8#57
SAMEA2205173,11679_4#46
SAMEA2205176,11679_4#47
SAMEA2205177,11658_3#41
SAMEA2205175,11791_3#50
SAMEA2205182,11658_3#42
SAMEA2205196,11657_6#55
SAMEA2205197,11657_7#54
SAMEA2205201,11679_5#42
SAMEA2205198,11679_7#39
SAMEA2205203,11657_7#55
SAMEA2205205,11679_4#50
SAMEA2205206,11679_7#40
SAMEA2205211,11679_8#61
SAMEA2205216,11657_5#60
SAMEA2205226,11657_7#57
SAMEA2205229,11679_4#52
SAMEA2205230,11658_4#64
SAMEA2205232,11679_7#42
SAMEA2205238,11657_7#59
SAMEA2205235,11679_7#43
SAMEA2205241,11679_6#53
SAMEA2205243,11679_4#53
SAMEA2205244,11657_7#60
SAMEA2205250,11679_6#55
SAMEA2205258,11679_6#56
SAMEA2205256,11679_4#55
SAMEA2205262,11679_5#48
SAMEA2205273,11658_3#49
SAMEA2205275,11657_7#61
SAMEA2205276,11658_3#50
SAMEA2205283,11657_6#62
SAMEA2205288,11679_5#50
SAMEA2205289,11791_3#62
SAMEA2205292,11679_7#47
SAMEA2205297,11679_4#57
SAMEA2205299,11679_6#60
SAMEA2205323,11679_5#56
SAMEA2205322,11679_6#61
SAMEA2205338,11657_6#67
SAMEA2205343,11658_7#72
SAMEA2205341,11679_7#54
SAMEA2205349,11679_4#63
SAMEA2205367,11791_7#63
SAMEA2205369,11791_6#27
SAMEA2205371,11658_3#61
SAMEA2205389,11679_5#61
SAMEA2205409,11658_4#74
SAMEA2205412,11679_4#68
SAMEA2205421,11657_7#80
SAMEA2205424,11679_7#64
SAMEA2205422,11658_4#75
SAMEA2205426,11658_4#76
SAMEA2205432,11679_5#65
SAMEA2205442,11658_4#78
SAMEA2205448,11679_7#67
SAMEA2205445,11658_7#75
SAMEA2205464,11657_7#83
SAMEA2205465,11658_3#70
SAMEA2205481,11658_7#78
SAMEA2205487,11679_5#69
SAMEA2205486,11658_7#79
SAMEA2205516,11658_7#83
SAMEA2205511,11679_6#74
SAMEA2205532,11679_8#75
SAMEA2205533,11658_3#76
SAMEA2205549,11658_3#77
SAMEA2205550,11657_6#82
SAMEA2205572,11658_3#81
SAMEA2205596,11679_7#80
SAMEA2205592,11657_6#85
SAMEA2205600,11658_4#92
SAMEA2205605,11657_5#93
SAMEA2205607,11658_5#96
SAMEA2205615,11679_4#84
SAMEA2205621,11657_6#88
SAMEA2205623,11679_7#82
SAMEA2205622,11791_3#67
SAMEA2205626,11658_3#86
SAMEA2205644,11679_5#83
SAMEA2205657,11679_8#85
SAMEA2205658,11679_8#86
SAMEA2205664,11679_4#88
SAMEA2205665,11679_8#87
SAMEA2205672,11791_3#83
SAMEA2205674,11679_7#84
SAMEA2205684,11679_7#87
SAMEA2205702,11658_3#91
SAMEA2205704,11679_6#92
SAMEA3531655,18090_6#35
SAMEA3531656,18090_7#5
SAMEA3531677,18090_7#79
SAMEA3531695,18090_6#42
SAMEA3531699,18090_7#20
SAMEA3531696,18090_7#88
SAMEA3531701,18090_7#21
SAMEA3531716,18090_8#4
SAMEA3531729,18090_7#32
SAMEA3531742,18090_6#45
SAMEA3531747,18090_7#44
SAMEA3531753,18090_7#48
SAMEA3531755,18090_6#48
SAMEA3531781,18090_8#18
SAMEA3531818,18090_6#58
SAMEA3531888,18090_8#84
SAMEA2204233,11658_5#2
SAMEA2204234,11658_6#1
SAMEA2204230,11657_5#1
SAMEA2204251,11658_5#6
SAMEA2204257,11791_7#5
SAMEA2204283,11658_6#12
SAMEA2204298,11658_8#28
SAMEA2204294,11658_6#13
SAMEA2204299,11658_8#29
SAMEA2204308,11658_7#10
SAMEA2204310,11791_7#15
SAMEA2204330,11658_5#23
SAMEA2204329,11658_5#22
SAMEA2204327,11658_5#20
SAMEA2204349,11658_4#12
SAMEA2204347,11658_4#11
SAMEA2204348,11658_5#29
SAMEA2204354,11658_7#16
SAMEA2204356,11658_5#31
SAMEA2204359,11791_7#18
SAMEA2204388,11791_7#20
SAMEA2204383,11658_5#37
SAMEA2204391,11658_4#18
SAMEA2204398,11658_7#22
SAMEA2204406,11658_6#32
SAMEA2204408,11658_8#41
SAMEA2204423,11658_3#3
SAMEA2204430,11657_5#13
SAMEA2204438,11658_3#5
SAMEA2204445,11657_6#12
SAMEA2204456,11657_5#14
SAMEA2204457,11657_7#10
SAMEA2204460,11657_7#12
SAMEA2204516,11658_4#20
SAMEA2204523,11658_6#38
SAMEA2204540,11658_6#41
SAMEA2204539,11658_6#40
SAMEA2204537,11658_8#48
SAMEA2204545,11658_8#51
SAMEA2204547,11658_6#43
SAMEA2204550,11658_6#44
SAMEA2204553,11791_7#28
SAMEA2204560,11658_6#47
SAMEA2204555,11791_7#30
SAMEA2204567,11658_4#21
SAMEA2204572,11658_5#52
SAMEA2204577,11658_8#55
SAMEA2204580,11679_5#6
SAMEA2204575,11658_8#54
SAMEA2204587,11658_6#53
SAMEA2204609,11657_7#20
SAMEA2204611,11679_6#15
SAMEA2204616,11791_3#3
SAMEA2204623,11679_7#12
SAMEA2204622,11657_7#23
SAMEA2204633,11657_7#24
SAMEA2204659,11679_7#15
SAMEA2204669,11679_7#17
SAMEA2204671,11679_4#19
SAMEA2204667,11679_6#20
SAMEA2204672,11679_6#21
SAMEA2204673,11657_5#25
SAMEA2204674,11657_6#30
SAMEA2204678,11679_4#20
SAMEA2204676,11657_5#26
SAMEA2204689,11657_5#27
SAMEA2204692,11658_7#40
SAMEA2204693,11658_4#28
SAMEA2204687,11679_5#16
SAMEA2204701,11658_5#58
SAMEA2204700,11658_7#42
SAMEA2204702,11658_4#29
SAMEA2204708,11658_6#58
SAMEA2204716,11658_6#59
SAMEA2204715,11658_4#30
SAMEA2204719,11658_4#32
SAMEA2204722,11791_7#40
SAMEA2204731,11658_6#61
SAMEA2204736,11657_5#32
SAMEA2204750,11791_6#13
SAMEA2204748,11658_5#63
SAMEA2204759,11679_5#17
SAMEA2204768,11657_7#34
SAMEA2204777,11658_4#39
SAMEA2204775,11679_4#24
SAMEA2204790,11657_6#35
SAMEA2204807,11658_4#40
SAMEA2204806,11658_3#28
SAMEA2204822,11658_3#29
SAMEA2204829,11658_3#30
SAMEA2204827,11791_3#19
SAMEA2204835,11791_3#23
SAMEA2204838,11679_8#30
SAMEA2204842,11791_3#24
SAMEA2204851,11679_4#27
SAMEA2204856,11679_5#25
SAMEA2204852,11679_8#32
SAMEA2204869,11657_5#40
SAMEA2204872,11658_4#41
SAMEA2204885,11658_8#60
SAMEA2204888,11658_6#64
SAMEA2204887,11658_7#52
SAMEA2204902,11791_7#47
SAMEA2204904,11791_3#33
SAMEA2204910,11791_3#35
SAMEA2204912,11658_7#55
SAMEA2204922,11791_7#50
SAMEA2204919,11658_8#63
SAMEA2204920,11658_4#46
SAMEA2204925,11679_8#42
SAMEA2204931,11658_6#66
SAMEA2204939,11791_7#52
SAMEA2204947,11679_5#29
SAMEA2204955,11658_8#66
SAMEA2204958,11658_7#60
SAMEA2204965,11679_6#38
SAMEA2204966,11658_5#77
SAMEA2204971,11791_7#55
SAMEA2204974,11658_7#62
SAMEA2204984,11658_8#74
SAMEA2204985,11658_8#75
SAMEA2204999,11658_4#48
SAMEA2205001,11657_7#42
SAMEA2205006,11679_7#28
SAMEA2205015,11657_7#44
SAMEA2205018,11658_6#79
SAMEA2205023,11658_6#81
SAMEA2205035,11658_5#86
SAMEA2205034,11658_4#52
SAMEA2205221,11679_6#51
SAMEA2205237,11657_6#57
SAMEA2205251,11657_5#62
SAMEA2205257,11657_5#63
SAMEA2205259,11658_3#47
SAMEA2205263,11679_8#67
SAMEA2205268,11657_5#66
SAMEA2205266,11791_3#61
SAMEA2205277,11657_7#62
SAMEA2205274,11657_5#68
SAMEA2205278,11679_7#46
SAMEA2205284,11679_6#59
SAMEA2205294,11657_6#63
SAMEA2205301,11657_7#65
SAMEA2205303,11658_4#67
SAMEA2205306,11791_6#25
SAMEA2205315,11679_7#52
SAMEA2205321,11658_3#56
SAMEA2205320,11658_3#55
SAMEA2205330,11658_3#57
SAMEA2205360,11657_5#72
SAMEA2205379,11657_6#69
SAMEA2205382,11679_4#67
SAMEA2205383,11658_3#64
SAMEA2205391,11791_7#64
SAMEA2205390,11679_5#62
SAMEA2205393,11658_6#91
SAMEA2205396,11657_7#74
SAMEA2205399,11658_7#73
SAMEA2205401,11658_8#93
SAMEA2205402,11679_8#70
SAMEA2205408,11679_6#70
SAMEA2205413,11679_4#69
SAMEA2205425,11658_6#93
SAMEA2205430,11657_5#76
SAMEA2205443,11679_6#72
SAMEA2205436,11657_7#81
SAMEA2205441,11679_6#71
SAMEA2205447,11658_3#68
SAMEA2205450,11658_4#80
SAMEA2205453,11658_7#76
SAMEA2205459,11679_5#67
SAMEA2205466,11679_8#73
SAMEA2205469,11657_6#74
SAMEA2205474,11679_4#73
SAMEA2205483,11658_3#72
SAMEA2205489,11657_6#76
SAMEA2205496,11658_3#73
SAMEA2205502,11658_7#81
SAMEA2205509,11658_8#95
SAMEA2205524,11791_7#67
SAMEA2205527,11679_5#73
SAMEA2205530,11679_4#78
SAMEA2205534,11679_6#75
SAMEA2205538,11658_6#95
SAMEA2205558,11657_6#84
SAMEA2205556,11679_7#77
SAMEA2205561,11658_7#84
SAMEA2205569,11658_7#85
SAMEA2205573,11791_6#36
SAMEA2205565,11658_3#80
SAMEA2205578,11679_8#80
SAMEA2205574,11679_8#78
SAMEA2205581,11658_7#87
SAMEA2205585,11657_5#92
SAMEA2205589,11679_7#79
SAMEA2205587,11658_7#89
SAMEA2205593,11658_7#90
SAMEA2205599,11679_4#81
SAMEA2205601,11679_6#81
SAMEA2205604,11658_7#93
SAMEA2205609,11679_7#81
SAMEA2205613,11658_3#85
SAMEA2205617,11658_7#96
SAMEA2205628,11679_5#80
SAMEA2205633,11791_3#72
SAMEA2205639,11657_7#89
SAMEA2205642,11679_8#81
SAMEA2205648,11679_8#82
SAMEA2205651,11791_3#77
SAMEA2205655,11657_5#94
SAMEA2205662,11791_3#79
SAMEA2205670,11679_8#88
SAMEA2205667,11791_3#81
SAMEA2205671,11791_3#82
SAMEA2205680,11657_7#90
SAMEA2205689,11679_6#90
SAMEA2205686,11658_4#95
SAMEA2205691,11679_6#91
SAMEA2205693,11679_4#91
SAMEA2205699,11657_6#93
SAMEA2205701,11658_3#90
SAMEA3531628,18090_6#84
SAMEA3531632,18090_6#87
SAMEA3531635,18090_6#90
SAMEA3531644,18090_7#1
SAMEA3531648,18090_7#2
SAMEA3531649,18090_7#65
SAMEA3531653,18090_7#67
SAMEA3531654,18090_7#68
SAMEA3531663,18090_6#37
SAMEA3531672,18090_7#9
SAMEA3531680,18090_7#13
SAMEA3531686,18090_7#15
SAMEA3531692,18090_7#17
SAMEA3531697,18090_7#19
SAMEA3531707,18090_7#93
SAMEA3531709,18090_7#24
SAMEA3531711,18090_7#25
SAMEA3531717,18090_6#44
SAMEA3531730,18090_8#11
SAMEA3531733,18090_7#34
SAMEA3531739,18090_7#37
SAMEA3531740,18090_7#38
SAMEA3531761,18090_7#52
SAMEA3531760,18090_6#51
SAMEA3531765,18090_7#55
SAMEA3531775,18090_8#16
SAMEA3531793,18090_8#19
SAMEA3531797,18090_8#20
SAMEA3531824,18090_8#23
SAMEA3531847,18090_6#60
SAMEA3531642,18090_6#95
SAMEA2205067,11791_3#38
